거래일자	종목명	거래수량	거래금액	거래세/농특세	정산금액	미수변제	예수금	대출상환금	담보대출상환금	매도담보상환금	신용거래구분(Hide)	세금합계	대출일	매체구분
	거래종류	거래단가	수수료	소득세/주민세	미수발생	연체변제	유가잔고	신용/대출이자	신용이자	매도담보상환이자	적요명(Hide)		상환차금	처리시간
2014-01-24	대림산업	5	"403,500"				"3,830,396"				보통매매			영웅문S
	보통매매  장내매수	"80,700.00"					5				장내매수			0:40:34
2014-01-24	대림산업	5	"404,500"		"808,120"		"3,022,276"				보통매매			영웅문S
	보통매매  장내매수	"80,900.00"	120				10				장내매수			0:40:34
2014-01-24			"5,017,000"		"5,017,000"		"8,039,276"							영웅문S
	  이체입금						0				이체입금			14:22:03
2014-01-27	대림산업	10	"823,000"	"2,468"	"820,412"		"8,859,688"				보통매매			영웅문S
	보통매매  장내매도	"82,300.00"	120				0				장내매도			0:38:09
2014-01-27	경동나비엔	10	"188,000"		"188,020"		"8,671,668"				보통매매			영웅문S
	보통매매  장내매수	"18,800.00"	20				800				장내매수			0:38:09
2014-01-27	NAVER	1	"696,000"		"696,100"		"7,975,568"				보통매매			영웅문S
	보통매매  장내매수	"696,000.00"	100				86				장내매수			0:38:09
2014-01-27	LG화학	1	"271,500"				"7,975,568"				보통매매			영웅문S
	보통매매  장내매수	"271,500.00"					1				장내매수			0:38:09
2014-01-27	LG화학	2	"544,000"		"815,620"		"7,159,948"				보통매매			영웅문S
	보통매매  장내매수	"272,000.00"	120				3				장내매수			0:38:09
2014-01-28	효성	10	"691,000"	"2,072"	"688,828"		"7,848,776"				보통매매			영웅문S
	보통매매  장내매도	"69,100.00"	100				40				장내매도			0:40:09
2014-01-28	KODEX인버스	250	"1,967,500"		"1,967,210"		"9,815,986"				보통매매			영웅문S
	보통매매  장내매도	"7,870.00"	290				0				장내매도			0:40:09
2014-01-28	쎌바이오텍	5	"104,000"				"9,815,986"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"20,800.00"					855				KOSDAQ매수			0:40:09
2014-01-28	쎌바이오텍	5	"104,250"				"9,815,986"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"20,850.00"					860				KOSDAQ매수			0:40:10
2014-01-28	쎌바이오텍	5	"104,500"		"312,790"		"9,503,196"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"20,900.00"	40				865				KOSDAQ매수			0:40:10
2014-01-28	경동나비엔	10	"182,500"				"9,503,196"				보통매매			영웅문S
	보통매매  장내매수	"18,250.00"					810				장내매수			0:40:10
2014-01-28	경동나비엔	10	"183,500"				"9,503,196"				보통매매			영웅문S
	보통매매  장내매수	"18,350.00"					820				장내매수			0:40:10
2014-01-28	경동나비엔	10	"184,000"		"550,080"		"8,953,116"				보통매매			영웅문S
	보통매매  장내매수	"18,400.00"	80				830				장내매수			0:40:10
2014-01-28	NAVER	1	"680,000"				"8,953,116"				보통매매			영웅문S
	보통매매  장내매수	"680,000.00"					87				장내매수			0:40:10
2014-01-28	NAVER	1	"681,000"				"8,953,116"				보통매매			영웅문S
	보통매매  장내매수	"681,000.00"					88				장내매수			0:40:10
2014-01-28	NAVER	1	"682,000"				"8,953,116"				보통매매			영웅문S
	보통매매  장내매수	"682,000.00"					89				장내매수			0:40:10
2014-01-28	NAVER	1	"684,000"				"8,953,116"				보통매매			영웅문S
	보통매매  장내매수	"684,000.00"					90				장내매수			0:40:10
2014-01-28	NAVER	1	"685,000"				"8,953,116"				보통매매			영웅문S
	보통매매  장내매수	"685,000.00"					91				장내매수			0:40:10
2014-01-28	NAVER	2	"1,372,000"				"8,953,116"				보통매매			영웅문S
	보통매매  장내매수	"686,000.00"					93				장내매수			0:40:10
2014-01-28	NAVER	1	"688,000"		"5,472,820"		"3,480,296"				보통매매			영웅문S
	보통매매  장내매수	"688,000.00"	820				94				장내매수			0:40:10
2014-01-28	LG화학	2	"534,000"				"3,480,296"				보통매매			영웅문S
	보통매매  장내매수	"267,000.00"					5				장내매수			0:40:10
2014-01-28	LG화학	2	"535,000"				"3,480,296"				보통매매			영웅문S
	보통매매  장내매수	"267,500.00"					7				장내매수			0:40:10
2014-01-28	LG화학	1	"268,000"		"1,337,200"		"2,143,096"				보통매매			영웅문S
	보통매매  장내매수	"268,000.00"	200				8				장내매수			0:40:10
2014-01-28			"800,000"		"800,000"		"2,943,096"							영웅문S
	  이체입금						0				이체입금			15:05:35
2014-01-29	쎌바이오텍	15	"299,250"				"2,943,096"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"19,950.00"					880				KOSDAQ매수			0:39:17
2014-01-29	쎌바이오텍	20	"402,000"				"2,943,096"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"20,100.00"					900				KOSDAQ매수			0:39:17
2014-01-29	쎌바이오텍	10	"201,500"				"2,943,096"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"20,150.00"					910				KOSDAQ매수			0:39:17
2014-01-29	쎌바이오텍	20	"404,000"		"1,306,940"		"1,636,156"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"20,200.00"	190				930				KOSDAQ매수			0:39:17
2014-01-29	현대모비스	1	"287,000"		"287,040"		"1,349,116"				보통매매			영웅문S
	보통매매  장내매수	"287,000.00"	40				5				장내매수			0:39:17
2014-01-29	NAVER	1	"655,000"				"1,349,116"				보통매매			영웅문S
	보통매매  장내매수	"655,000.00"					95				장내매수			0:39:17
2014-01-29	NAVER	1	"656,000"		"1,311,190"		"37,926"				보통매매			영웅문S
	보통매매  장내매수	"656,000.00"	190				96				장내매수			0:39:17
2014-02-06	효성	40	"2,472,000"	"7,416"	"2,464,214"		"2,502,140"				보통매매			영웅문S
	보통매매  장내매도	"61,800.00"	370				0				장내매도			0:39:44
2014-02-06	경동나비엔	20	"372,000"				"2,502,140"				보통매매			영웅문S
	보통매매  장내매수	"18,600.00"					850				장내매수			0:39:44
2014-02-06	경동나비엔	20	"373,000"				"2,502,140"				보통매매			영웅문S
	보통매매  장내매수	"18,650.00"					870				장내매수			0:39:44
2014-02-06	경동나비엔	20	"374,000"		"1,119,160"		"1,382,980"				보통매매			영웅문S
	보통매매  장내매수	"18,700.00"	160				890				장내매수			0:39:44
2014-02-07	아모레G	1	"448,500"				"1,382,980"				보통매매			영웅문S
	보통매매  장내매수	"448,500.00"					1				장내매수			0:39:25
2014-02-07	아모레G	1	"449,000"		"897,630"		"485,350"				보통매매			영웅문S
	보통매매  장내매수	"449,000.00"	130				2				장내매수			0:39:25
2014-02-07	경동나비엔	10	"189,000"		"189,020"		"296,330"				보통매매			영웅문S
	보통매매  장내매수	"18,900.00"	20				900				장내매수			0:39:25
2014-02-12	삼성SDI우	10	"701,000"	"2,102"	"698,798"		"995,128"				보통매매			영웅문S
	보통매매  장내매도	"70,100.00"	100				190				장내매도			0:39:50
